content,rating,type,publishedDate,tokenization,text,sequence_num,status,origin
住了三天兩夜，感覺很不錯，還有冷氣，晚上睡覺不怕熱，而且還可以租用餐具，鍋子不用自己帶。,5,2,2023-10-10T09:42:15+08:00,,住三天兩夜感覺不錯冷氣晚上睡覺怕熱租用餐具鍋子不用,787,1,1
露營車很小，沒有電視與WiFi ，就是很陽春的住宿，覺得花八千多元沒有那個價值。,2,2,2023/08/08,,露營車很小電視WiFi陽春住宿花八千多元價值,788,-1,1
盥洗用具只有牙刷牙膏跟一罐洗全身的，毛巾是拋棄式，使用感受不是這麼好。如果沒有請業者代訂餐點，就要另外自行準備各種烤肉用具，不太方便。並沒有提供早餐。,3,2,2023-01-01T19:21:21+08:00,,盥洗用具牙刷牙膏一罐洗全身毛巾拋棄式感受請業者代訂餐點自行烤肉用具不太提供早餐,789,0,1
小黑蚊叮到你非常舒服，良心建議穿長袖長褲，可以的話最好帶面具,2,2,2023/05/08,,小黑蚊叮到舒服良心建議穿長袖長褲面具,790,-1,1
服務很好 帳篷拍起來很美 餐廳食物都會一直補充,5,2,2024/02/08,,服務帳篷拍美餐廳食物補充,791,1,1
整體來說氣氛和餐點都不錯，老闆人很好。但是餐點有點太少，自助式供餐會不足供應全體房客客。餐點可以準備更即時。以下有幾點建議：1.帳篷區和衛浴的路上可以鋪上供人走路的磁磚，下雨天會踩到整雙腳都泥巴。2.停車的地方也是都積水，整雙鞋子踩下去都濕了，也可以改善一下。3.帳篷部分清潔可以再更加強，可以放個除濕機，不然下雨天整間都濕答答的感覺，也可以多個遮雨棚，不然穿鞋都會是濕的。雖然有小鞋櫃，但是下雨過後鞋子還是都有濕氣無法乾。4.希望可以更即時的清潔衛浴，有房客吐到整間都是，但是無法即時反應和處理。5.露營區的冰箱是壞掉的無法冰東西，希望可以修繕。來此遊玩的房客記得帶牙刷和拖鞋,2,2,2023/07/08,,整體氣氛餐點不錯老闆餐點太少自助式供餐供應房客客餐點即時幾點建議帳篷區和衛浴路上鋪上供走路磁磚下雨天踩到整雙腳泥巴停車地方積水整雙鞋子踩下去濕改善帳篷清潔放個濕機下雨天整間濕答答感覺多個遮雨棚穿鞋濕鞋櫃下雨過後鞋子濕氣乾希望即時清潔衛浴房客吐整間即時露營區的冰箱壞掉冰東西希望修繕來此遊玩房客記得牙刷拖鞋,792,-1,1
第一次露營就獻給露悠悠了！超級好玩工作人員都超級親切～～ …,5,2,2023/08/03,,第一次露營獻給露悠悠超級好玩工作人員超級親切,793,1,1
1.一隻狗加收1000，還要額外付一隻2000押金，完全沒有相關配套，寵物友善進去帳篷前請先拍照自保，水漬/霉斑一堆。不是付不起，是要押金早點講，還好老人個性身上放大鈔。2.火鍋沒有沾醬，火鍋沒有沾醬，火鍋沒有沾醬3.兩人一帳只有一隻牙刷跟一條浴巾，還好有自備4.插座要不要請水電再來牽一些4.筷子沒事用扁的幹嘛？韓風露營？5.熱水會越來越燙，轉冷一點就越來越冷6.包場區真的失望，所有設施還是要去非包場區，吃飯也要等外面的先用好7.不給小孩子早餐早點講8.結論：跟去之前看別人的評論一樣，真的很敢收最後講一下，要走進去那條路真的很臭，路面也不處理，前面有車開進去，後面整個風吹砂吃免錢。PS.兔子很可愛,1,2,2023/08/03,,一隻狗加收1000額外付一隻2000押金相關配套寵物友善帳篷前請先拍照自保水漬霉斑一堆付不起押金早點講還好老人個性身上放大鈔火鍋沾醬火鍋沾醬火鍋沾醬兩人一帳一隻牙刷一條浴巾還好自備插座請水電再來牽筷子沒事扁幹嘛韓風露營熱水越來越燙轉冷一點越來越冷包場區真的失望設施非包場區吃飯外面先用不給小孩子早餐早點講結論評論真的敢收講走進那條路真的路面車開進風吹砂吃免錢PS兔子可愛,794,-1,1
環境清幽，還有可愛的小動物們，餐廳餐點超級好吃！！！平常挑嘴的孩子都可以連吃三碗炒飯露營車乾淨舒適還有冷暖空調超級舒服的露營體驗很適合親子唷！環境整潔舒適，服務親切熱情期待下次再來玩！！,5,2,2023/05/07,,環境清幽可愛動物餐廳餐點超級好吃平常挑嘴孩子吃三碗炒飯露營車乾淨舒適冷暖空調超級舒服露營體驗適合親子唷環境整潔舒適服務親切熱情期待下次再來玩,795,1,1
活動很棒啊！活動很棒啊！活動很棒啊！活動很棒啊！活動很棒啊！活動很棒啊！活動很棒啊！,5,2,2021-09-05 12:13:35,,活動很棒活動很棒活動很棒活動很棒活動很棒活動很棒活動很棒,796,1,1
大推大推，五星好評，環境和服務都一百分，讚讚讚！,5,2,2024/03/07,,推大推五星好評環境服務一百分讚讚讚,797,1,1
營地的經營應該是一年以內的事情，裡面除了建築物很新，公共設施非常得好，游泳池真的是塞到爆，左邊的營地是固定式的，價錢我問到一個鯨魚座（每個露營帳篷有他的名稱）的是8000多快+1床1000多，右邊是給你一個營地一個營地大約在1200上下，自己準備帳篷、旁邊有盥洗設備也有供水設備也有早午餐的餐廳，公共區就是很大的游泳池，還有營區的環境還有一整排的觀景台、視野非常的廣到處藍天白雲，樹木郁郁蔥蔥、只能說給他滿分吧,5,2,2023/05/08,,營地經營一年以內事情建築物新公共設施游泳池真的塞爆左邊營地固定式價錢問到鯨魚座露營帳篷名稱8000多快床1000右邊是給營地營地1200帳篷旁邊盥洗設備供水設備早午餐餐廳公共區很大游泳池營區環境整排觀景台視野的廣藍天白雲樹木郁郁蔥蔥只能說給滿分,798,1,1
嘴巴張開……開始放空……（天蠍座原來是這樣）小孩玩瘋了、大人放空了#臻美營地,5,2,2023/05/08,,嘴巴張開放空天蠍座小孩玩瘋大人放空臻美營地,799,1,1
這裡環境很棒 工作人員也超Nice推薦大家來這邊放鬆 …,5,2,2023/08/03,,環境很棒工作人員超Nice推薦放鬆,800,1,1
老闆非常親切～環境佈置的很乾淨、帳篷高級床也舒服，下次想再去！,5,2,2023-03-21T20:06:31+08:00,,老闆親切環境佈置乾淨帳篷高級床舒服下次想,801,1,1
懶人露營️首選環境幽美，房間乾淨到不行，洗澡不會有忽冷忽熱的狀況，重點水力很強服務人員待人很親切，晚餐烤肉食材很敢給耶～又新鮮！！非常推推～ …,5,2,2023/07/08,,懶人露營️首選環境幽美房間乾淨不行洗澡忽冷忽熱狀況重點水力很強服務人員待人親切晚餐烤肉食材給耶新鮮推推,802,1,1
極糟，已經不是糟可以形容以下拷貝自我的google評論園區入口很難找…到了之後也沒導引指示要到哪棟報到帳篷進去不久就出現一隻中型蜘蛛冷氣風直吹不是很舒服真的讓人不爽的是服務人員的態度一開始入住就有詢問過外面租車服務人員也未告知營業時間跟要在哪辦理，等我們從帳篷出來準備要租的時候再詢問一次才說要直接到前面，結果完全找不到人問，咖啡廳也沒人，打了兩通電話才得知只營業到五點，有夠誇張，後來回去跟櫃台反應也是先狡辯才道歉，十分無語活動時間都非常短暫又排滿人真的是對不起這個價格總之就是一個不怎麼樣的地方1.服務人員訓練有待加強連合作的園區內電動車租賃體驗的營業時間都不清楚只能讓客人自己來回兩棟建築物找不到人向主管反映時主管一概不承認不足的地方已經表示不想再講了也沒有要求要退款或賠償什麼的主管還會不斷死纏爛打試圖解釋園區沒有任何疏失而且死纏爛打了十分鐘還沒有一句道歉主管解釋的起手式甚至是「我覺得你不想聽但是我還是要講」可惜的是沒有在聽的是那位主管而不是我這位客人2.在客人入住前會把營帳的拉鍊都拉開順便跟他們反應這樣蚊蟲會跑進去他們就會開始跳針說因為營帳常有客人不會開露營地有蚊蟲都很正常,1,2,2023-07-11 23:39:37,,極糟糟形容拷貝自我google評論園區入口很難找導引指示哪棟報到帳篷一隻中型蜘蛛冷氣風直吹舒服真的不爽服務人員態度入住詢問外面租車服務人員未告知營業時間辦理帳篷租詢問說找不到人問咖啡廳沒人兩通電話得知營業五點有夠誇張回去櫃台先狡辯道歉無語活動時間短暫排滿真的對不起價格不怎麼樣地方服務人員訓練有待加強連合作園區電動車租賃體驗營業時間只能客人來回兩棟建築物找不到人向主管時主管一概承認地方不想再講退款賠償主管還會死纏爛打試圖解釋園區疏失死纏爛打十分鐘一句道歉主管解釋手式不想聽要講可惜聽那位主管這位客人客人入住前會營帳拉鍊拉開順便蚊蟲跑跳針說因為營帳常有客人開露營地蚊蟲,803,-1,1
帶著2+2小孩直衝樂窩露營地，遇上強烈冷氣團，貼心營主在酋長帳篷裡準備暖氣，還有熱騰騰的紫米粥和薑母茶，貼心到了極點。餐點也好吃，大小孩戰鬥力不太夠，還打包回帳外品嚐，飽～～ …,5,2,2023/05/07,,帶著小孩直衝樂窩露營地遇上冷氣團貼心營主酋長帳篷裡暖氣熱騰騰紫米粥薑母茶貼心極點餐點好吃小孩戰鬥力不太夠打包回帳外品嚐,804,1,1
疫情期間影響各行業難得現在趨緩有機會出去玩看到夏天玩水方案很開心出發前往整趟玩完非常不划算不推薦大家去~~~100元入園+50元停車費下午四點游泳池就沒水玩溫泉區也是四點多就沒水也沒沖水區，廁所還沒水遊客和小朋友一堆就就開始噴農藥超傻眼~~~,2,2,2023/05/07,,疫情期間影響行業趨緩機會出去玩夏天玩水方案開心出發前往整趟玩完不划算推薦100元入園50元停車費下午四點游泳池沒水玩溫泉區也四點沒水沖水區廁所還沒水遊客小朋友一堆噴農藥超傻眼,805,-1,1
燈光美，氣氛佳，放鬆心情的好地方調酒、威士忌都免費的有提供歡唱KTV到晚上11點是流行歌曲不是傳統的卡啦ok，很棒附一泊四食（早、午、下午茶、晚餐）餐點CP值很高呼吸新鮮空氣，品嚐美食值得來體驗看看秋冬晚上很冷，要穿保暖一點,5,2,2023/05/07,,燈光美氣氛佳放鬆心情地方調酒威士忌免費提供歡唱KTV晚上11點是流行歌曲傳統卡ok很棒附一泊四食早午下午茶晚餐餐點CP值高呼吸新鮮空氣品嚐美食值得來體驗秋冬晚上冷穿保暖一點,806,1,1
很棒的寵物友善露營區！營區管家很暖心！對狗狗也很友善！附近其他狗狗也都很友善！如果家裡狗狗愛交朋友！推推來這裡玩！,5,2,2023/12/07,,很棒寵物友善露營區營區管家很暖心狗狗友善狗狗友善家裡狗狗愛交朋友推推來玩,807,1,1
此生沒看過這麼多蟬 超噁== 營帳外面晚上一堆蟬在地上超級噁== 毀了整個露營體驗,1,2,2023/07/07,,此生看過多蟬超噁營帳外面晚上一堆蟬在地上超級噁毀了露營體驗,808,-1,1
一開始房間冷氣有問題是有點不悅但之後有幫我們換房 還更大更舒適感覺很不賴之後又遇到WaWa玩小遊戲給我們的感覺很好又超會拍照 然後又83的 活潑又熱情之後離場時我們車剛好沒電 又幫我們安排挖電人超級無敵霹靂好的啦讚讚讚WaWa我要讓你紅,5,2,2023/05/07,,房間冷氣不悅幫換房還更大舒適感覺不賴WaWa玩小遊戲感覺超會拍照83活潑熱情離場時車沒電幫安排挖電人超級無敵霹靂讚讚讚WaWa我要你紅,809,1,1
相當不錯的露營區，剛好平日有時間過去露營，沒什麼人，幾乎是包園狀態，要注意小黑蚊很多...營帳部分不會離很近，且可以停車在旁邊，營位有水龍頭，樹木也可以遮陽，較大的水槽跟垃圾桶都必須走一段小路，缺點是廁所雖然很乾淨且大間，但數量非常少，而且很遠，難以想像如果滿帳洗澡或者上廁所要排多久...園區有水上活動可以參加，且有食材跟啤酒可以買，啤酒是他們自己的精釀啤酒，好像是150元吧有點忘了，還有冰棒可以買，風景真的漂亮舒服，是有機會可以再來的營區。,5,2,2023/05/08,,不錯露營區平日時間露營沒什麼包園狀態小黑蚊營帳停車旁邊營位水龍頭樹木遮陽較大水槽垃圾桶走一段小路缺點廁所乾淨大間數量非常少很遠難以想像滿帳洗澡廁所要排多久園區水上活動參加食材啤酒買啤酒精釀啤酒好像150元忘冰棒買風景真的漂亮舒服機會再來營區,810,1,1
這邊的環境非常棒，工作人員非常親切也很漂亮，小朋友都玩瘋了,5,2,2023/08/08,,環境棒工作人員親切很漂亮小朋友玩瘋,811,1,1
小黑蚊有點多 帳篷偏舊有發霉的情形可能是我體質的問題 隔天睡起來有點過敏營區人滿多的 雖然有提醒但晚上還是蠻吵的洗澡間水流通暢 但建議能增加幾個架子掛衣服帳篷內也可以考慮放個架子 方便衣物晾乾假日人還蠻多的 幾乎滿帳！！火鍋跟特色餐味道都不錯 還算好吃營區小販部賣的東西偏少建議能夠多販售零食或是飲料畢竟位處偏僻 若沒有交通工具也不太方便出去買建議開車或是騎車前往會比較方便開車約10分鐘有水上花園博物館適合消磨時間 走訪的景點,3,2,2022/05/08,,小黑蚊帳篷偏舊有發霉情形體質隔天睡過敏營區人滿提醒晚上吵洗澡間水流通暢建議增加幾個架子掛衣服帳篷放個架子衣物晾乾假日還蠻滿帳火鍋特色餐味道不錯算好吃營區小販部賣東西偏少建議販售零食飲料位處偏僻交通工具太買建議開車騎車前往開車約10分鐘水上花園博物館適合消磨時間走訪景點,812,0,1
一大早大老遠從台北過來，在山上塞車塞個半死，好不容易到了營區發現廁所什麼的都超遠，甚至很多東西真的都要自己帶（但是這點我自認是我自己沒有看清楚所以忽視了要帶的東西，園區工作人員什麼都對的，錯的永遠是消費者），玩水的時候感覺來回1個小時，等我玩1個小時，我玩1分鐘，等其它人玩完再1個小時，希望不要為了賺錢而忽悠CP值,1,2,2023/05/08,,一大早大老遠台北山上塞車塞個半死好不容易營區發現廁所超遠東西真的自認是看清楚忽視東西園區工作人員錯永遠消費者玩水感覺來回小時玩小時玩分鐘玩完小時希望為賺錢忽悠CP值,813,-1,1
第一次體驗空拍很有趣，設備、食物也很齊全！,5,2,2023/11/09,,第一次體驗空拍有趣設備食物齊全,814,1,1
這次住迷彩狩獵長，環境大很舒服，小朋友玩樂的地方多！洗澡熱水很熱水也很大，很棒的地方下次有機會要再來住蓮花 …,5,2,2020/05/08,,住迷彩狩獵長環境舒服小朋友玩樂地方洗澡熱水熱水很大很棒地方下次機會再來住蓮花,815,1,1
隔音不是說很好廁所的環境跟我想的我太一樣食物偏….不是很好吃希望所有東西 都有待加強,1,2,2023/05/08,,隔音說廁所環境想太食物偏好吃希望東西有待,816,-1,1
營區沒有禁菸沒有禁菸沒有禁菸沒有禁菸甚至每個客廳都放煙灰缸也代表著你的鄰居可以大剌剌地跟你相隔幾公尺朝著你吞雲吐霧你都拿他沒轍的,3,2,2023/11/08,,營區禁菸禁菸禁菸禁菸客廳放煙灰缸代表著鄰居大剌剌地相隔公尺朝著吞雲吐霧沒轍,817,0,1
無停車，敗興而歸，門口徘回多次，也見車子出來還是不給入場？門口管理人員回說裡面沒人管理，所以就是不開放？我就好奇了，一場開這嘛大場，為什麼會沒人管理？說真的，很浪費大家時間！,1,2,2022/05/07,,停車敗興而歸門口徘回車子不給入場門口管理人員回說沒人管理開放好奇一場開這嘛大場為沒人管理說真的浪費時間,818,-1,1
服務人員熱情親切、帳篷溫馨舒適、濕地景觀絕美夕陽、親子友善；大推生態導覽 …,5,2,2023/06/08,,服務人員熱情親切帳篷溫馨舒適濕地景觀絕美夕陽親子友善推生態導覽,819,1,1
有民宿露營的設置，露營位置一帳配一洗手檯的設置，非常方便，衛浴有很多間且乾淨，生態保持不錯因此有很多昆蟲，營主提供每帳300＊300棧板，如果是別墅帳可能要考慮一下位置的選擇，否則很難搭設。,4,2,2020/05/07,,民宿露營設置露營位置一帳配一洗手檯設置衛浴間且乾淨生態不錯昆蟲營主提供每帳300300棧板別墅帳考慮一下位置選擇很難搭設,820,1,1
帳篷 小木屋都好讚喔！晚餐buffet 也好棒 很好吃 …,5,2,2024/04/24,,帳篷小木屋讚喔晚餐buffet棒好吃,821,1,1
交通：地點很好，交通方便，沒有開車的話可以搭火車到苗栗後轉計程車上去（計程車10幾分路程就到了）服務：服務人員親切，態度也很好，整體過程中感受舒服自在，且過了11、12點還有服務人員在場，很貼心也很用心，不會丟著客人不管，隨時在那邊stand by (很加分，但是值夜班也辛苦了）另外因爲靠山區蚊蟲本就多，服務人員聽到我們的尖叫聲後，還很貼心的給了電蚊拍備用環境：整潔乾淨，舒服自在，感覺就是一個很讓人放鬆的地方，且景色也很美，傍晚看得到夕陽，早上估計也看得到日出？只是我們起不來就沒看了 廁所部分也很乾淨，洗澡水壓很夠，水也夠熱設備：周邊的小設備設想的很周到，包括佈置帳篷的器材、燈具等等都很充足，可以隨心所慾的佈置。另外食材的部分也很夠，不用擔心餓肚子，中途還有服務人員關切夠不夠吃，感覺很窩心廚房用具也都ㄧ應俱全，基本器具都有，不夠的話也都可以額外在索取，很貼心！整體心得：真的非常推薦！各方面都很滿意，會想再二訪的露營區！,5,2,2023/05/07,,交通地點交通開車搭火車苗栗後轉計程車計程車10幾分路程服務服務人員親切態度整體過程中感受舒服且過1112點服務人員在場貼心用心丟著客人standby很加分值夜班辛苦山區蚊蟲服務人員聽到尖叫聲貼心給了電蚊拍備用環境整潔乾淨舒服感覺放鬆地方景色美傍晚夕陽早上估計日出起不來廁所乾淨洗澡水壓很夠水夠熱設備周邊設備設想周到包括佈置帳篷器材燈具充足隨心慾佈置食材很夠不用擔心餓肚子中途服務人員關切夠不夠吃感覺窩心廚房用具ㄧ應俱全器具額外索取貼心整體心得真的推薦滿意會想再二訪露營區,822,1,1
"1060916-不滿帳就很舒服的營地,,木屋也很乾淨舒適3000元/4人",3,2,2018/05/07,,1060916帳就舒服營地木屋乾淨舒適3000元,823,0,1
超用心 還穿鯊魚裝跟長頸鹿衝出來給我們吃蛋糕 好開心 開開心心 …,5,2,2023/05/07,,超用心還穿鯊魚裝跟長頸鹿吃蛋糕好開心開開心心,824,1,1
MOMO阿姨的蝦仁炒蛋跟法式吐司超級好吃！,5,2,2022/05/07,,MOMO阿姨蝦仁炒蛋法式吐司超級好吃,825,1,1
環境清幽，適合團體旅遊。美中不足的是遇到惡鄰居，到凌晨還大聲喧鬧，一個晚上都不得安寧。,3,2,2022-11-14 09:14:15,,環境清幽適合團體旅遊美中不足惡鄰居凌晨大聲喧鬧晚上安寧,826,0,1
來參加WILDERLAND，意外的發現這個營地另外的美，可山景，可森林系，初夏秋冬來都有不同的玩法，很值得推薦浴廁乾淨且熱水不會忽冷忽熱。 …,5,2,2021/05/08,,參加WILDERLAND意外發現營地美山景森林系初夏秋冬玩法值得推薦浴廁乾淨熱水忽冷忽熱,827,1,1
場地大小剛好，離市區近，浴室衣物置放空間大推，非常舒適。,5,2,2018/05/08,,場地大小市區浴室衣物置放空間推舒適,828,1,1
因為是過年期間適逢落山風季節露營營區很貼心的告知當地目前狀況再讓客人自行考量是否前往～然後營區裡的酒吧調酒好喝！早餐也不錯吃份量蠻多的比較美中不足的地方是自搭營帳區的衛浴設備比較不足，且要告知服務人員才會來清理。但服務人員的態度都蠻友善的！,3,2,2022/05/06,,因為過年期間適逢落山風季節露營營區貼心告知狀況客人自行考量前往營區裡的酒吧調酒好喝早餐不錯吃份量美中不足地方搭營帳區的衛浴設備告知服務人員會來清理服務人員態度友善,829,0,1
在露營車裡發呆看外面的景色也好棒雖然我們也有螞蟻但數量也沒到很多半戶外環境本來就有這些小動物我是覺得ok啦～,5,2,2019/05/07,,露營車裡發呆外面景色棒螞蟻數量沒到多半戶外環境本來動物ok,830,1,1
女營主超美超熱情～營區很漂亮且整潔大推！！！,5,2,2024/04/06,,女營主超美超熱情營區很漂亮整潔推,831,1,1
帳篷內滿滿的霉斑！一顆星都不值一晚要16700的價格 …,1,2,2024/04/29,,帳篷滿滿的霉斑一顆星不值一晚16700價格,832,-1,1
"因應營地2021年起不開放夜衝的規定，出發前有先致電給營地，確認可以讓我們這群來自台中高雄等遠距離的朋友，提早11點入場。但當我們11:30抵達現場時，工作人員卻不讓我們進場，堅持12點才開放入場！？然後入場後，工作人員又過來強調說，隔日必須要再11點前離場。直到我們出示該營區在網路上的退場時間規定，「若超過下午2點前未離場，每人酌收100元之後」，工作人員才不再與我們爭執。附帶一提，剛剛上網在確認一下退場規定，發現營區已經修改退場規定至下午1點，而非原本的2點。必須要說，我們不是業配，只是愛好露營，享受大自然的一群人。我們願意配合園方的任何規定，但請不要說一套作一套。既然在電話中告知可以提前至11點讓我們入場，為何到現場時卻堅持不讓我們入場呢？明明該位置也是空著的呀！既然這樣，當初在電話中就不要答應我們啊。既然收費標準比其他營區高，我們當然希望得到的是相對應的服務品質與環境！！My 50th camping, amazing memory!",1,2,2021/05/08,,因應營地2021年開放夜衝出發前有先致電營地確認這群台中高雄遠距離朋友提早11點入場但當1130抵達現場時工作人員不讓進場12點才開放入場入場工作人員說11點前離場出示營區網路上退場時間超過下午點前未離場每人酌收100元工作人員爭執附帶一提剛剛上網確認退場發現營區修改退場下午點非原本點要說業配愛好露營享受大自然一群配合園方請要說一套作一套電話中告知提前11點讓入場為何現場時不讓入場明明位置空著當初電話中答應收費標準營區高希望應服務品質環境My50thcampingamazingmemory,833,-1,1
非常推薦的小小露營區，三個蒙古帳兩個露營車，舒適又乾淨,5,2,2021/05/08,,推薦小小露營區三個蒙古帳兩個露營車舒適乾淨,834,1,1
"可以泡溫泉(要著泳衣及浴帽),住宿,搭帳,車宿,衛浴空間乾淨，員工很親切 ……..",3,2,2023/05/08,,泡溫泉著泳衣浴帽住宿搭帳車宿衛浴空間乾淨員工親切,835,0,1
適合懶人露營的好地方1.提供餐具，卡式爐（瓦斯罐，鍋具自備）2.環境整潔，有屬於自己的衛浴！3.每個帳都有自己的特色，這次體驗地球帳4.有可愛的野生動物陪伴5.整體來說除了山路不太好行駛，其他體驗真的很棒！,5,2,2023/05/07,,適合懶人露營地方提供餐具卡式爐瓦斯罐鍋具自備環境整潔衛浴帳都特色體驗地球帳可愛野生動物陪伴整體山路不太好行駛體驗真的很棒,836,1,1
舒服度假的好地方，價格和品質能成比例的優秀渡假勝地,5,2,2023/05/07,,舒服度假地方價格品質成比例優秀渡假勝地,837,1,1
接待我們的服務人員很好，介紹得很仔細，也很有耐心回答我們的問題,5,2,2024-04-16T00:43:02+08:00,,接待服務人員介紹仔細耐心回答,838,1,1
我覺得很棒！服務人員的態度也都很好唯一就是很冷 貼很多暖暖包,5,2,2023-01-20 21:22:55,,很棒服務人員態度唯一冷貼暖暖包,839,1,1
星空帳跟其他帳位在不同區 很適合我們這種一群人。在網路上有看到營區有營火的地方 但check in的時候沒有跟我們說在哪跟會不會燒營火,5,2,2022-02-18T12:02:49+08:00,,星空帳跟帳位區適合一群網路上營區營火地方checkin說燒營火,840,1,1
園內服務人員親切解說講解清楚入住整體感受很棒,5,2,2023/05/07,,園內服務人員親切解說講解入住整體感受很棒,841,1,1
服務人員都很好！火鍋瓦斯爐火力太小，建議加大火力。兒童遊戲區建議加蓋棚子，白天太熱。,3,2,2023/05/06,,服務人員火鍋瓦斯爐火力太小建議加大火力兒童遊戲區建議加蓋棚子白天太熱,842,0,1
環境乾淨、裝備齊全、衛浴設備整潔不過人均台幣兩千的場地費，入住時需要自己搬運所有器材（瓦斯兩箱、瓶裝水5公升8瓶⋯等）與枕頭棉被等備品，拔營時將東西清洗集中後，需要再次搬回小坡上的櫃檯供點收。悶熱天氣還要回到帳內去收拾厚重棉被再搬上坡、搬完後覺得很像來打工換宿的⋯沒有得到值得這個價錢的服務⋯。（價錢參考：鐘型帳住了4人 收費7500 每隻狗另收500 電風扇租借每台100）,3,2,2019/05/07,,環境乾淨裝備齊全衛浴設備整潔人均台幣兩千場地費入住時搬運器材瓦斯兩箱瓶裝水公升瓶枕頭棉被備品拔營時將東西清洗搬回小坡櫃檯供點收悶熱天氣回到帳內收拾厚重棉被再搬上坡搬完打工換宿值得價錢服務價錢參考鐘型帳住收費7500隻狗另收500電風扇租借每台100,843,0,1
不確定那裡是否是吸菸區（垃圾桶旁）滿多人在那抽菸建議吸菸區的位置可以改變太接近洗澡廁所區域及櫃檯販售處洗完澡出來聞到味道 感覺不是很好,4,2,2024-04-08T03:58:11+08:00,,是否是吸菸區垃圾桶旁滿多人抽菸建議吸菸區位置改變太接近洗澡廁所區域櫃檯販售處洗完澡聞到味道感覺,844,1,1
是個很放鬆的地方！小孩可以四處奔跑！園區還有很多設施可以玩！工作人員很貼心的服務一些園區的規定都有提醒晚上夜景超讚的！,5,2,2022/05/08,,放鬆地方小孩四處奔跑園區設施玩工作人員貼心服務園區提醒晚上夜景超讚,845,1,1
園區很棒很大，適合小孩跑跑～～～服務態度很棒～很親切！！金色頭髮是大美女 …行程類型度假,5,2,2023/05/08,,園區很棒很大適合小孩跑跑服務態度很棒親切金色頭髮大美女行程類型度假,846,1,1
帳篷都很大很乾淨，管家也很親切，環境舒適很適合露營~,5,2,2023/07/07,,帳篷很大乾淨管家親切環境舒適適合露營,847,1,1
我是住露營車，露營車維護的很好，衛浴也都很乾淨，一切都很美好，唯一的缺點就是達新牌的吹風機,5,2,2023/10/08,,住露營車露營車維護衛浴乾淨美好唯一缺點達新牌吹風機,848,1,1
整體來說以這個價位，真的很不推。環境衛生很不ok，當天訂的是小木屋房，但近房間後滿滿的蚊子，光是蚊子就徒手抓了至少快20隻⋯再來是床，待在房裡一整個下午也不知道爬了幾隻的螞蟻和蜘蛛，看到其他評論也有這樣的回饋，然後營區的回覆是說，這畢竟還是露營，不會像飯店一樣舒適⋯但，你們標榜的是豪華露營欸，怎麼整體覺得除了不用自己搭篷外，完全感受不出哪裡可以勝過自助露營⋯另外，撇開蚊蟲不說的話，衛生打掃也很不乾淨，床頭放的一盆假花上、房間各角落、浴室滿滿的灰塵，二樓客廳間更是處處可見蜘蛛網。如果蚊蟲問題無法改善，建議至少把該整理的房務清潔都做好。餐點的部分，以這樣的價位也是很不推，火鍋豬肉、牛肉各一盤，但每盤各放4片薄片而已⋯,1,2,2024/04/09,,整體價位真的推環境衛生ok當天訂小木屋房但近房間滿滿的蚊子蚊子徒手抓至少20隻再來床房裡下午爬幾隻螞蟻蜘蛛評論回饋營區回覆說露營飯店舒適標榜豪華露營欸整體不用搭篷外感受不出勝過自助露營撇開蚊蟲不說衛生打掃乾淨床頭放一盆假花房間角落浴室滿滿的灰塵二樓客廳間更是蜘蛛網蚊蟲改善建議至少整理房務清潔做好餐點價位推火鍋豬肉牛肉一盤每盤各放片薄片,849,-1,1
嬰兒床發霉，禮拜天一個晚上7千多，比很多飯店都貴，泳池很髒就算了，畢竟是戶外，但這收費住客帶泳圈充氣一個泳圈還要收20元 置物櫃30元，雖然是小錢，但為了拿錢來回走兩趟奇摩子就不是很好，收這錢有意思？從來沒有住過游泳池的充氣還要收錢，遊玩的設施也超少，DIY也都有另外自費～下午茶很不優，剛拿出來的炸物就是冷的，不管早餐多好吃，還沒吃早晚餐我就已經失望透了～ …,1,2,2023/05/07,,嬰兒床發霉禮拜天晚上千多飯店貴泳池很髒戶外收費住客帶泳圈充氣泳圈收20元置物櫃30元小錢為錢來回走兩趟奇摩子收這錢有意思住過游泳池充氣收錢遊玩設施超少DIY自費下午茶很不優剛拿炸物冷早餐好吃還沒吃早晚餐失望透,850,-1,1
風景很棒 環境很好 場地很大 廁所乾淨 員工很友善,5,2,2023/05/08,,風景很棒環境場地很大廁所乾淨員工友善,851,1,1
完美的規劃，從尚未入住開始，就凖備了活動，讓小朋友不無聊，一泊三食算起來算划算，晚餐飯後還有烤棉花糖，吃的飽飽、活動滿滿，唯一的小缺點是冷氣不冷，其他都很滿意。,5,2,2023-04-17T11:29:55+08:00,,完美規劃尚未入住凖備活動小朋友無聊一泊三食算算划算晚餐飯烤棉花糖吃飽飽活動滿滿唯一缺點冷氣不冷滿意,852,1,1
環境整理的很好，服務人員都很nice。可惜我們去的那天下雨，沒辦法觀星。會再找時間去一次。,5,2,2023/05/06,,環境整理服務人員nice可惜那天下雨辦法觀星找時間,853,1,1
真的不好….又貴又小又髒又冷 浴室讓我根本不想使用整個超級失望跟網路介紹差太多,1,2,2024/01/07,,真的不好貴髒冷浴室不想超級失望網路介紹差太多,854,-1,1
